Initialized at 2012-07-15 11:29:09.000000
USER:: 124 | MESSAGE:: TOKEN CODE:: G8rpp94vMB| DATE:: 2012-07-15 11:30:04.000000| SERVER:: dev.constellation.tv
USER:: 124 | MESSAGE:: GEOIP DB INFO - GEO-106FREE 20090201 Build 1 Copyright (c) 2007 MaxMind LLC All Rights Reserved| DATE:: 2012-07-15 11:30:04.000000| SERVER:: dev.constellation.tv
USER:: 124 | MESSAGE:: GEOIP FILTERS FOR FILM - | DATE:: 2012-07-15 11:30:04.000000| SERVER:: dev.constellation.tv
USER:: 124 | MESSAGE:: GEOIP CONTINENT - | DATE:: 2012-07-15 11:30:04.000000| SERVER:: dev.constellation.tv
USER:: 124 | MESSAGE:: GEOIP COUNTRY - | DATE:: 2012-07-15 11:30:04.000000| SERVER:: dev.constellation.tv
USER:: 124 | MESSAGE:: GEOIP CITY - | DATE:: 2012-07-15 11:30:04.000000| SERVER:: dev.constellation.tv
USER:: 124 | MESSAGE:: GEOIP ADDRESS - 192.168.2.109| DATE:: 2012-07-15 11:30:04.000000| SERVER:: dev.constellation.tv
USER:: 124 | MESSAGE:: GEOIP DB INFO - GEO-106FREE 20090201 Build 1 Copyright (c) 2007 MaxMind LLC All Rights Reserved| DATE:: 2012-07-15 11:30:04.000000| SERVER:: dev.constellation.tv
USER:: 124 | MESSAGE:: GEOIP FILTERS FOR FILM - | DATE:: 2012-07-15 11:30:04.000000| SERVER:: dev.constellation.tv
USER:: 124 | MESSAGE:: GEOIP CONTINENT - | DATE:: 2012-07-15 11:30:04.000000| SERVER:: dev.constellation.tv
USER:: 124 | MESSAGE:: GEOIP COUNTRY - | DATE:: 2012-07-15 11:30:04.000000| SERVER:: dev.constellation.tv
USER:: 124 | MESSAGE:: GEOIP CITY - | DATE:: 2012-07-15 11:30:04.000000| SERVER:: dev.constellation.tv
USER:: 124 | MESSAGE:: GEOIP ADDRESS - 192.168.2.109| DATE:: 2012-07-15 11:30:04.000000| SERVER:: dev.constellation.tv
