TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3384][ft: f4m] [curTime: 3474.474][curIndex: 4][Buffer: 30.582][BW: 3088.00][Avg BW: 3962.87][Peak BW: 9692.00] Log Status Timer | DATE:: 2011-11-29 01:58:03.216697 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3442][ft: f4m] [curTime: 3534.433][curIndex: 4][Buffer: 31.486][BW: 7058.00][Avg BW: 5463.03][Peak BW: 9692.00] Log Status Timer | DATE:: 2011-11-29 01:59:03.223839 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3500][ft: f4m] [curTime: 3594.466][curIndex: 4][Buffer: 31.462][BW: 4122.00][Avg BW: 4409.42][Peak BW: 9692.00] Log Status Timer | DATE:: 2011-11-29 02:00:03.274207 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3559][ft: f4m] [curTime: 3654.634][curIndex: 4][Buffer: 31.386][BW: 5430.00][Avg BW: 4571.13][Peak BW: 9692.00] Log Status Timer | DATE:: 2011-11-29 02:01:03.348893 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3597][ft: f4m] [curTime: 3693.9][curIndex: 3][Buffer: 31][BW: 3233.00][Avg BW: 3548.23][Peak BW: 9692.00] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-11-29 02:01:42.782148 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3597][ft: f4m] [curTime: 3694.4][curIndex: 3][Buffer: 31.519][BW: 3233.00][Avg BW: 3548.23][Peak BW: 9692.00] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-11-29 02:01:43.207522 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3598][ft: f4m] [curTime: 3695.082][curIndex: 3][Buffer: 31.019][BW: 3515.00][Avg BW: 3513.45][Peak BW: 9692.00] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-11-29 02:01:43.728846 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3598][ft: f4m] [curTime: 3695.466][curIndex: 3][Buffer: 30.452][BW: 3515.00][Avg BW: 3513.45][Peak BW: 9692.00] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-11-29 02:01:44.274381 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3617][ft: f4m] [curTime: 3714.566][curIndex: 3][Buffer: 31.363][BW: 2064.00][Avg BW: 2419.06][Peak BW: 9692.00] Log Status Timer | DATE:: 2011-11-29 02:02:03.366401 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 3630][ft: f4m] [curTime: 3728.277][curIndex: 3][Buffer: 31.758][BW: 4146.00][Avg BW: 2136.48][Peak BW: 9692.00] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-11-29 02:02:16.951550 | PORT:: 17095
