TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17791][ft: SMIL] [curTime: 3897.72][curIndex: 0 of 2][Buffer: 26.708 of 20][isBuffering: false][BW: 509.08][Avg BW: 525.56][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 497040.3587443946] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:35:03.797350 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17794][ft: SMIL] [curTime: 3898.28][curIndex: 0 of 2][Buffer: 26.167 of 20][isBuffering: false][BW: 509.08][Avg BW: 511.87][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 497040.3587443946] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:35:04.342142 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17796][ft: SMIL] [curTime: 3898.79][curIndex: 0 of 2][Buffer: 25.625 of 20][isBuffering: false][BW: 509.08][Avg BW: 500.35][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 497040.3587443946] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:35:04.879634 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17798][ft: SMIL] [curTime: 3899.26][curIndex: 0 of 2][Buffer: 25.208 of 20][isBuffering: false][BW: 509.08][Avg BW: 500.35][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 497040.3587443946] Log Status Timer | DATE:: 2011-12-07 21:35:05.330946 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17799][ft: SMIL] [curTime: 3899.40][curIndex: 0 of 2][Buffer: 25.083 of 20][isBuffering: false][BW: 509.08][Avg BW: 492.65][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 497040.3587443946] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:35:05.450788 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17801][ft: SMIL] [curTime: 3899.91][curIndex: 0 of 2][Buffer: 24.542 of 20][isBuffering: false][BW: 509.08][Avg BW: 492.65][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 497040.3587443946] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:35:05.997795 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17804][ft: SMIL] [curTime: 3900.47][curIndex: 0 of 2][Buffer: 24 of 20][isBuffering: false][BW: 509.08][Avg BW: 492.65][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 497040.3587443946] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:35:06.535594 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17806][ft: SMIL] [curTime: 3901.02][curIndex: 0 of 2][Buffer: 23.458 of 20][isBuffering: false][BW: 509.08][Avg BW: 492.65][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 497040.3587443946] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:35:07.080954 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17809][ft: SMIL] [curTime: 3901.58][curIndex: 0 of 2][Buffer: 22.875 of 20][isBuffering: false][BW: 509.08][Avg BW: 492.65][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 497040.3587443946] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:35:07.630283 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17811][ft: SMIL] [curTime: 3902.09][curIndex: 0 of 2][Buffer: 22.333 of 20][isBuffering: false][BW: 509.08][Avg BW: 492.65][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 497040.3587443946] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:35:08.182285 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17814][ft: SMIL] [curTime: 3902.65][curIndex: 0 of 2][Buffer: 27.58 of 20][isBuffering: false][BW: 885.31][Avg BW: 504.79][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 1011785.7142857143] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:35:08.727271 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17816][ft: SMIL] [curTime: 3903.20][curIndex: 0 of 2][Buffer: 30.823 of 20][isBuffering: false][BW: 743.72][Avg BW: 512.36][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 334021.05263157893] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:35:09.267212 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17819][ft: SMIL] [curTime: 3903.72][curIndex: 0 of 2][Buffer: 33.253 of 20][isBuffering: false][BW: 1309.80][Avg BW: 538.19][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 501958.0838323353] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:35:09.816953 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17821][ft: SMIL] [curTime: 3904.27][curIndex: 0 of 2][Buffer: 35.25 of 20][isBuffering: false][BW: 1083.73][Avg BW: 556.73][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 414080.5970149254] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:35:10.358898 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17824][ft: SMIL] [curTime: 3904.83][curIndex: 0 of 2][Buffer: 38.997 of 20][isBuffering: false][BW: 807.20][Avg BW: 566.34][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 658101.9108280254] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:35:10.904081 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17826][ft: SMIL] [curTime: 3905.39][curIndex: 0 of 2][Buffer: 41.75 of 20][isBuffering: false][BW: 789.06][Avg BW: 575.38][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 368613.1386861314] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:35:11.463337 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17829][ft: SMIL] [curTime: 3905.95][curIndex: 0 of 2][Buffer: 41.209 of 20][isBuffering: false][BW: 789.06][Avg BW: 584.41][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 368613.1386861314] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:35:12.859961 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17831][ft: SMIL] [curTime: 3906.46][curIndex: 0 of 2][Buffer: 40.625 of 20][isBuffering: false][BW: 558.83][Avg BW: 586.01][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 368613.1386861314] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:35:12.878484 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17834][ft: SMIL] [curTime: 3907.01][curIndex: 0 of 2][Buffer: 40.084 of 20][isBuffering: false][BW: 402.58][Avg BW: 582.58][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 368613.1386861314] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:35:13.092119 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17836][ft: SMIL] [curTime: 3907.57][curIndex: 0 of 2][Buffer: 39.542 of 20][isBuffering: false][BW: 402.58][Avg BW: 579.14][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 368613.1386861314] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:35:13.632412 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17839][ft: SMIL] [curTime: 3908.13][curIndex: 0 of 2][Buffer: 39 of 20][isBuffering: false][BW: 402.58][Avg BW: 575.71][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 368613.1386861314] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:35:14.187165 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 17841][ft: SMIL] [curTime: 3908.68][curIndex: 0 of 2][Buffer: 38.459 of 20][isBuffering: false][BW: 402.58][Avg BW: 572.27][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 368613.1386861314] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:35:14.734092 | PORT:: 17094
