TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15714][ft: SMIL] [curTime: 3305.42][curIndex: 1 of 2][Buffer: 31.412 of 20][isBuffering: false][BW: 3089.39][Avg BW: 988.81][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 412012.38095238095] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 4.653 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:11.950736 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15716][ft: SMIL] [curTime: 3305.96][curIndex: 1 of 2][Buffer: 31.765 of 20][isBuffering: false][BW: 3138.49][Avg BW: 1075.32][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 408926.523297491] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 5.172 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:12.487285 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15719][ft: SMIL] [curTime: 3306.46][curIndex: 1 of 2][Buffer: 31.856 of 20][isBuffering: false][BW: 3204.83][Avg BW: 1163.98][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 414546.2662337662] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 5.691 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:12.997330 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15721][ft: SMIL] [curTime: 3306.96][curIndex: 1 of 2][Buffer: 32.122 of 20][isBuffering: false][BW: 3213.47][Avg BW: 1252.91][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 401587.5968992248] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 6.202 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:13.510175 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15724][ft: SMIL] [curTime: 3307.50][curIndex: 1 of 2][Buffer: 32.486 of 20][isBuffering: false][BW: 3298.39][Avg BW: 1344.58][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 425282.9268292683] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 6.715 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:14.016563 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15726][ft: SMIL] [curTime: 3308.00][curIndex: 1 of 2][Buffer: 32.892 of 20][isBuffering: false][BW: 3161.26][Avg BW: 1431.83][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 422440.8602150538] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 7.223 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:14.516416 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15729][ft: SMIL] [curTime: 3308.50][curIndex: 1 of 2][Buffer: 33.227 of 20][isBuffering: false][BW: 3134.62][Avg BW: 1532.89][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 413598.4589041096] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 7.738 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:15.082897 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15736][ft: SMIL] [curTime: 3310.04][curIndex: 1 of 2][Buffer: 33.925 of 20][isBuffering: false][BW: 3026.92][Avg BW: 1840.71][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 405956.34266886325] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 9.262 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:16.562692 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15741][ft: SMIL] [curTime: 3311.08][curIndex: 1 of 2][Buffer: 35.411 of 20][isBuffering: false][BW: 2578.18][Avg BW: 2023.38][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 438256.3081009296] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 10.292 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:19.925023 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15739][ft: SMIL] [curTime: 3310.54][curIndex: 1 of 2][Buffer: 34.667 of 20][isBuffering: false][BW: 3086.70][Avg BW: 1940.25][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 410704.7817047817] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 9.776 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:19.930222 | PORT:: 17094
