TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1182][ft: SMIL] [curTime: 3669.89][curIndex: 0 of 2][Buffer: 32.328 of 20][isBuffering: false][BW: 98.88][Avg BW: 21.48][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 15 > 10 | DATE:: 2011-12-07 00:31:20.793857 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1183][ft: SMIL] [curTime: 3670.49][curIndex: 0 of 2][Buffer: 37.429 of 20][isBuffering: false][BW: 113.29][Avg BW: 25.13][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 00:31:21.550164 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1184][ft: SMIL] [curTime: 3671.24][curIndex: 0 of 2][Buffer: 39.5 of 20][isBuffering: false][BW: 104.73][Avg BW: 28.51][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 00:31:22.134484 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1184][ft: SMIL] [curTime: 3671.77][curIndex: 0 of 2][Buffer: 43.451 of 20][isBuffering: false][BW: 104.73][Avg BW: 28.51][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 18 > 10 | DATE:: 2011-12-07 00:31:22.700409 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1185][ft: SMIL] [curTime: 3672.40][curIndex: 0 of 2][Buffer: 42.826 of 20][isBuffering: false][BW: 123.92][Avg BW: 32.51][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 18 > 10 | DATE:: 2011-12-07 00:31:23.240286 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1185][ft: SMIL] [curTime: 3672.75][curIndex: 0 of 2][Buffer: 42.368 of 20][isBuffering: false][BW: 123.92][Avg BW: 32.51][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 19 > 10 | DATE:: 2011-12-07 00:31:23.760637 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1186][ft: SMIL] [curTime: 3673.54][curIndex: 0 of 2][Buffer: 41.785 of 20][isBuffering: false][BW: 74.29][Avg BW: 34.90][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 19 > 10 | DATE:: 2011-12-07 00:31:24.360829 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1186][ft: SMIL] [curTime: 3673.95][curIndex: 0 of 2][Buffer: 41.41 of 20][isBuffering: false][BW: 74.29][Avg BW: 34.90][Peak BW: 474.23] Log Status Timer | DATE:: 2011-12-07 00:31:24.759264 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1186][ft: SMIL] [curTime: 3674.07][curIndex: 0 of 2][Buffer: 41.243 of 20][isBuffering: false][BW: 74.29][Avg BW: 34.90][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 00:31:24.880163 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1187][ft: SMIL] [curTime: 3674.47][curIndex: 0 of 2][Buffer: 40.701 of 20][isBuffering: false][BW: 0.00][Avg BW: 34.90][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 00:31:25.450216 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1187][ft: SMIL] [curTime: 3675.16][curIndex: 0 of 2][Buffer: 40.16 of 20][isBuffering: false][BW: 0.00][Avg BW: 34.90][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 15 > 10 | DATE:: 2011-12-07 00:31:25.932229 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1188][ft: SMIL] [curTime: 3675.21][curIndex: 0 of 2][Buffer: 39.618 of 20][isBuffering: false][BW: 0.00][Avg BW: 34.90][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 14 > 10 | DATE:: 2011-12-07 00:31:26.466426 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1188][ft: SMIL] [curTime: 3676.02][curIndex: 0 of 2][Buffer: 39.076 of 20][isBuffering: false][BW: 0.00][Avg BW: 34.90][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 13 > 10 | DATE:: 2011-12-07 00:31:27.036909 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1189][ft: SMIL] [curTime: 3676.72][curIndex: 0 of 2][Buffer: 38.535 of 20][isBuffering: false][BW: 0.00][Avg BW: 34.90][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 12 > 10 | DATE:: 2011-12-07 00:31:27.560778 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1189][ft: SMIL] [curTime: 3677.20][curIndex: 0 of 2][Buffer: 38.035 of 20][isBuffering: false][BW: 0.00][Avg BW: 34.90][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 11 > 10 | DATE:: 2011-12-07 00:31:28.057099 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1195][ft: SMIL] [curTime: 3682.68][curIndex: 0 of 2][Buffer: 32.701 of 20][isBuffering: false][BW: 0.00][Avg BW: 34.90][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 10 > 10 | DATE:: 2011-12-07 00:31:33.498307 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1195][ft: SMIL] [curTime: 3682.92][curIndex: 0 of 2][Buffer: 32.201 of 20][isBuffering: false][BW: 0.00][Avg BW: 32.29][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 11 > 10 | DATE:: 2011-12-07 00:31:34.017465 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1196][ft: SMIL] [curTime: 3683.38][curIndex: 0 of 2][Buffer: 31.618 of 20][isBuffering: false][BW: 0.00][Avg BW: 32.29][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 12 > 10 | DATE:: 2011-12-07 00:31:34.524863 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1196][ft: SMIL] [curTime: 3684.29][curIndex: 0 of 2][Buffer: 31.076 of 20][isBuffering: false][BW: 0.00][Avg BW: 28.91][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 13 > 10 | DATE:: 2011-12-07 00:31:35.076861 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1197][ft: SMIL] [curTime: 3684.75][curIndex: 0 of 2][Buffer: 30.326 of 20][isBuffering: false][BW: 0.00][Avg BW: 23.53][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 12 > 10 | DATE:: 2011-12-07 00:31:35.785299 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1198][ft: SMIL] [curTime: 3688.46][curIndex: 0 of 2][Buffer: 26.368 of 20][isBuffering: false][BW: 0.00][Avg BW: 19.26][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 12 > 10 | DATE:: 2011-12-07 00:31:39.705525 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1198][ft: SMIL] [curTime: 3688.46][curIndex: 0 of 2][Buffer: 26.368 of 20][isBuffering: false][BW: 0.00][Avg BW: 23.53][Peak BW: 474.23] detected low FPS - displaying message - FPS: 2.9308323563892147 | DATE:: 2011-12-07 00:31:39.711807 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1198][ft: SMIL] [curTime: 3689.47][curIndex: 0 of 2][Buffer: 25.826 of 20][isBuffering: false][BW: 0.00][Avg BW: 19.26][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 13 > 10 | DATE:: 2011-12-07 00:31:40.251839 | PORT:: 17093
