TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 6899][ft: SMIL] [curTime: 1509.79][curIndex: 0 of 2][Buffer: 23.042 of 20][isBuffering: false][BW: 256.47][Avg BW: 248.19][Peak BW: 4359.95 : Estimated RAW Max Bytes Per Second: 405172.27722772275] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 20:55:15.800230 | PORT:: 17094
TICKET:: k5jiYYDB4t | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 371][ft: SMIL] [curTime: 1473.88][curIndex: 0 of 2][Buffer: 697.485 of 20][isBuffering: false][BW: 1706.30][Avg BW: 1366.86][Peak BW: 1706.30 : Estimated RAW Max Bytes Per Second: 174181000] Displaying message - Your BW is Low: 1366.86 | DATE:: 2011-12-07 20:55:16.261094 | PORT:: 17094
TICKET:: k5jiYYDB4t | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 371][ft: SMIL] [curTime: 1473.88][curIndex: 0 of 2][Buffer: 697.485 of 20][isBuffering: false][BW: 1706.30][Avg BW: 1382.89][Peak BW: 1706.30 : Estimated RAW Max Bytes Per Second: 174181000] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 1255 > 24 | DATE:: 2011-12-07 20:55:16.261856 | PORT:: 17094
TICKET:: k5jiYYDB4t | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 371][ft: SMIL] [curTime: 1473.88][curIndex: 0 of 2][Buffer: 697.485 of 20][isBuffering: false][BW: 1706.30][Avg BW: 1366.86][Peak BW: 1706.30 : Estimated RAW Max Bytes Per Second: 174181000] [videoView][DEBUG]Detected FPS <1 FPS zero count 9 currentFPS: 0.42 | DATE:: 2011-12-07 20:55:16.262965 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 6902][ft: SMIL] [curTime: 1510.34][curIndex: 0 of 2][Buffer: 22.458 of 20][isBuffering: false][BW: 256.47][Avg BW: 248.19][Peak BW: 4359.95 : Estimated RAW Max Bytes Per Second: 405172.27722772275] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 20:55:16.367727 | PORT:: 17094
TICKET:: k5jiYYDB4t | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 370][ft: SMIL] [curTime: 1473.17][curIndex: 0 of 2][Buffer: 697.485 of 20][isBuffering: false][BW: 1706.30][Avg BW: 1366.86][Peak BW: 1706.30 : Estimated RAW Max Bytes Per Second: 174181000] [videoView][DEBUG]Detected FPS <1 FPS zero count 8 currentFPS: 0.42 | DATE:: 2011-12-07 20:55:16.490138 | PORT:: 17094
TICKET:: MtSpHrjDkc | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 110][ft: SMIL] [curTime: 1456.54][curIndex: 0 of 2][Buffer: 60.417 of 20][isBuffering: false][BW: 1304.70][Avg BW: 957.94][Peak BW: 1304.70 : Estimated RAW Max Bytes Per Second: 434243.842364532] Log Status Timer | DATE:: 2011-12-07 20:55:16.728983 | PORT:: 17094
TICKET:: MtSpHrjDkc | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 111][ft: SMIL] [curTime: 1456.54][curIndex: 0 of 2][Buffer: 60.417 of 20][isBuffering: false][BW: 1304.70][Avg BW: 965.66][Peak BW: 1304.70 : Estimated RAW Max Bytes Per Second: 394830.6010928962] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 410 > 24 | DATE:: 2011-12-07 20:55:16.778451 | PORT:: 17094
TICKET:: MtSpHrjDkc | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 111][ft: SMIL] [curTime: 1456.54][curIndex: 0 of 2][Buffer: 60.417 of 20][isBuffering: false][BW: 1304.70][Avg BW: 957.94][Peak BW: 1304.70 : Estimated RAW Max Bytes Per Second: 434243.842364532] [videoView][DEBUG]Detected FPS <1 FPS zero count 3 currentFPS: 0.14 | DATE:: 2011-12-07 20:55:16.779475 | PORT:: 17094
TICKET:: MtSpHrjDkc | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 111][ft: SMIL] [curTime: 1456.54][curIndex: 0 of 2][Buffer: 60.417 of 20][isBuffering: false][BW: 1304.70][Avg BW: 957.94][Peak BW: 1304.70 : Estimated RAW Max Bytes Per Second: 434243.842364532] Displaying message - Your BW is Low: 957.94 | DATE:: 2011-12-07 20:55:16.780135 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 6904][ft: SMIL] [curTime: 1510.90][curIndex: 0 of 2][Buffer: 21.917 of 20][isBuffering: false][BW: 256.47][Avg BW: 248.19][Peak BW: 4359.95 : Estimated RAW Max Bytes Per Second: 405172.27722772275] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 20:55:16.918981 | PORT:: 17094
