TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23136][ft: SMIL] [curTime: 5101.68][curIndex: 0 of 2][Buffer: 24.598 of 20][isBuffering: false][BW: 1094.97][Avg BW: 246.03][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 528890.5660377359] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 21:55:07.815941 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23138][ft: SMIL] [curTime: 5102.24][curIndex: 0 of 2][Buffer: 27.07 of 20][isBuffering: false][BW: 1195.86][Avg BW: 277.34][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 437342.85714285716] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 21:55:08.355991 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23141][ft: SMIL] [curTime: 5102.79][curIndex: 0 of 2][Buffer: 29.835 of 20][isBuffering: false][BW: 983.49][Avg BW: 301.80][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 415468.64686468645] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 21:55:08.932429 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23143][ft: SMIL] [curTime: 5103.31][curIndex: 0 of 2][Buffer: 32.934 of 20][isBuffering: false][BW: 981.83][Avg BW: 326.21][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 489003.8910505837] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 21:55:09.443408 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23144][ft: SMIL] [curTime: 5104.19][curIndex: 0 of 2][Buffer: 37.307 of 20][isBuffering: false][BW: 963.98][Avg BW: 350.04][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 437549.6453900709] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:55:10.310588 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23145][ft: SMIL] [curTime: 5104.74][curIndex: 0 of 2][Buffer: 39.791 of 20][isBuffering: false][BW: 1125.27][Avg BW: 379.07][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 424879.05604719766] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:55:10.871903 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23146][ft: SMIL] [curTime: 5106.18][curIndex: 0 of 2][Buffer: 41.667 of 20][isBuffering: false][BW: 1125.27][Avg BW: 379.07][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 424879.05604719766] Displaying message - Your BW is Low: 379.07 | DATE:: 2011-12-07 21:55:13.027285 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23146][ft: SMIL] [curTime: 5106.18][curIndex: 0 of 2][Buffer: 41.667 of 20][isBuffering: false][BW: 803.41][Avg BW: 397.72][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 378067.055393586] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:55:13.045507 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23147][ft: SMIL] [curTime: 5106.74][curIndex: 0 of 2][Buffer: 41.125 of 20][isBuffering: false][BW: 556.96][Avg BW: 408.42][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 378067.055393586] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 15 > 10 | DATE:: 2011-12-07 21:55:13.050789 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23150][ft: SMIL] [curTime: 5107.30][curIndex: 0 of 2][Buffer: 40.584 of 20][isBuffering: false][BW: 556.96][Avg BW: 408.42][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 378067.055393586] Displaying message - Your BW is Low: 408.42 | DATE:: 2011-12-07 21:55:13.389523 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23150][ft: SMIL] [curTime: 5107.30][curIndex: 0 of 2][Buffer: 40.584 of 20][isBuffering: false][BW: 556.96][Avg BW: 419.12][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 378067.055393586] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 15 > 10 | DATE:: 2011-12-07 21:55:13.390832 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23152][ft: SMIL] [curTime: 5107.86][curIndex: 0 of 2][Buffer: 40 of 20][isBuffering: false][BW: 556.96][Avg BW: 429.82][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 378067.055393586] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 15 > 10 | DATE:: 2011-12-07 21:55:13.941564 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23154][ft: SMIL] [curTime: 5108.41][curIndex: 0 of 2][Buffer: 39.459 of 20][isBuffering: false][BW: 556.96][Avg BW: 440.52][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 378067.055393586] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 14 > 10 | DATE:: 2011-12-07 21:55:14.534129 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23157][ft: SMIL] [curTime: 5108.97][curIndex: 0 of 2][Buffer: 38.875 of 20][isBuffering: false][BW: 556.96][Avg BW: 451.22][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 378067.055393586] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 14 > 10 | DATE:: 2011-12-07 21:55:15.074482 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23159][ft: SMIL] [curTime: 5109.53][curIndex: 0 of 2][Buffer: 38.334 of 20][isBuffering: false][BW: 556.96][Avg BW: 461.92][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 378067.055393586] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 14 > 10 | DATE:: 2011-12-07 21:55:15.620940 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23162][ft: SMIL] [curTime: 5110.09][curIndex: 0 of 2][Buffer: 37.792 of 20][isBuffering: false][BW: 556.96][Avg BW: 472.62][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 378067.055393586] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 15 > 10 | DATE:: 2011-12-07 21:55:16.176026 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23164][ft: SMIL] [curTime: 5110.64][curIndex: 0 of 2][Buffer: 37.25 of 20][isBuffering: false][BW: 556.96][Avg BW: 483.32][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 378067.055393586] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 15 > 10 | DATE:: 2011-12-07 21:55:16.732110 | PORT:: 17094
