TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 19161][ft: SMIL] [curTime: 4197.31][curIndex: 0 of 2][Buffer: 42.083 of 20][isBuffering: false][BW: 1165.09][Avg BW: 657.88][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 474942.67515923566] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:40:03.393301 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 19163][ft: SMIL] [curTime: 4197.87][curIndex: 0 of 2][Buffer: 41.541 of 20][isBuffering: false][BW: 1108.56][Avg BW: 677.12][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 474942.67515923566] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:40:03.944236 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 19166][ft: SMIL] [curTime: 4198.42][curIndex: 0 of 2][Buffer: 41 of 20][isBuffering: false][BW: 730.01][Avg BW: 684.16][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 474942.67515923566] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:40:04.490027 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 19168][ft: SMIL] [curTime: 4198.93][curIndex: 0 of 2][Buffer: 40.458 of 20][isBuffering: false][BW: 337.64][Avg BW: 678.53][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 474942.67515923566] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:40:05.043787 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 19170][ft: SMIL] [curTime: 4199.54][curIndex: 0 of 2][Buffer: 39.875 of 20][isBuffering: false][BW: 337.64][Avg BW: 678.53][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 474942.67515923566] Log Status Timer | DATE:: 2011-12-07 21:40:05.605462 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 19171][ft: SMIL] [curTime: 4199.54][curIndex: 0 of 2][Buffer: 39.875 of 20][isBuffering: false][BW: 337.64][Avg BW: 672.91][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 474942.67515923566] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:40:05.611914 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 19173][ft: SMIL] [curTime: 4200.10][curIndex: 0 of 2][Buffer: 39.333 of 20][isBuffering: false][BW: 337.64][Avg BW: 667.28][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 474942.67515923566] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:40:06.166072 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 19176][ft: SMIL] [curTime: 4200.61][curIndex: 0 of 2][Buffer: 38.791 of 20][isBuffering: false][BW: 337.64][Avg BW: 661.66][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 474942.67515923566] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:40:06.707209 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 19178][ft: SMIL] [curTime: 4201.16][curIndex: 0 of 2][Buffer: 38.208 of 20][isBuffering: false][BW: 337.64][Avg BW: 656.03][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 474942.67515923566] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:40:07.258657 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 19181][ft: SMIL] [curTime: 4201.72][curIndex: 0 of 2][Buffer: 37.666 of 20][isBuffering: false][BW: 337.64][Avg BW: 650.41][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 474942.67515923566] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:40:07.803127 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 19183][ft: SMIL] [curTime: 4202.28][curIndex: 0 of 2][Buffer: 37.125 of 20][isBuffering: false][BW: 337.64][Avg BW: 644.78][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 474942.67515923566] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 21:40:08.358223 | PORT:: 17094
