TICKET:: wqFpC42oZA | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 285][ft: SMIL] [curTime: 2412.13][curIndex: 0 of 2][Buffer: 267.494 of 20][isBuffering: false][BW: 1421.48][Avg BW: 1277.33][Peak BW: 1504.89 : Estimated RAW Max Bytes Per Second: 616779.6610169491] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 222 > 24 | DATE:: 2011-12-07 21:10:41.315226 | PORT:: 17094
TICKET:: 7KXgHeG88U | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 242][ft: SMIL] [curTime: 2410.97][curIndex: 0 of 2][Buffer: 25.458 of 20][isBuffering: false][BW: 971.24][Avg BW: 744.50][Peak BW: 1977.58 : Estimated RAW Max Bytes Per Second: 488214.85411140585] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 61 > 24 | DATE:: 2011-12-07 21:10:41.319064 | PORT:: 17094
TICKET:: Rna33p8QhV | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 1309][ft: SMIL] [curTime: 2431.66][curIndex: 0 of 2][Buffer: 24.693 of 20][isBuffering: false][BW: 1373.55][Avg BW: 1128.46][Peak BW: 3556.66 : Estimated RAW Max Bytes Per Second: 463590.55118110235] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 55 > 24 | DATE:: 2011-12-07 21:10:41.320054 | PORT:: 17094
TICKET:: wqFpC42oZA | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 285][ft: SMIL] [curTime: 2412.13][curIndex: 0 of 2][Buffer: 267.494 of 20][isBuffering: false][BW: 976.84][Avg BW: 1277.27][Peak BW: 1504.89 : Estimated RAW Max Bytes Per Second: 295135.3637901861] Displaying message - Your BW is Low: 1277.27 | DATE:: 2011-12-07 21:10:41.320998 | PORT:: 17094
TICKET:: wqFpC42oZA | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 285][ft: SMIL] [curTime: 2412.13][curIndex: 0 of 2][Buffer: 267.494 of 20][isBuffering: false][BW: 976.84][Avg BW: 1277.27][Peak BW: 1504.89 : Estimated RAW Max Bytes Per Second: 295135.3637901861] [videoView][DEBUG]Detected FPS <1 FPS zero count 9 currentFPS: 0.73 | DATE:: 2011-12-07 21:10:41.325492 | PORT:: 17094
TICKET:: yDmaMkWWNP | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 39][ft: SMIL] [curTime: 2398.33][curIndex: 0 of 2][Buffer: 36.25 of 20][isBuffering: false][BW: 696.32][Avg BW: 911.28][Peak BW: 1512.76 : Estimated RAW Max Bytes Per Second: 470148.24797843664] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 29 > 24 | DATE:: 2011-12-07 21:10:41.351541 | PORT:: 17094
TICKET:: k7kiDQcsnX | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 632][ft: SMIL] [curTime: 2425.84][curIndex: 0 of 2][Buffer: 42.541 of 20][isBuffering: false][BW: 960.66][Avg BW: 924.12][Peak BW: 3576.58 : Estimated RAW Max Bytes Per Second: 401843.137254902] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 61 > 24 | DATE:: 2011-12-07 21:10:41.380893 | PORT:: 17094
TICKET:: NBRjRYzyzU | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 446][ft: SMIL] [curTime: 2415.33][curIndex: 0 of 2][Buffer: 28.125 of 20][isBuffering: false][BW: 989.87][Avg BW: 1193.11][Peak BW: 2068.88 : Estimated RAW Max Bytes Per Second: 387478.7472035794] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 32 > 24 | DATE:: 2011-12-07 21:10:41.383747 | PORT:: 17094
TICKET:: NBRjRYzyzU | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 446][ft: SMIL] [curTime: 2415.33][curIndex: 0 of 2][Buffer: 28.125 of 20][isBuffering: false][BW: 989.87][Avg BW: 1206.68][Peak BW: 2068.88 : Estimated RAW Max Bytes Per Second: 387478.7472035794] Displaying message - Your BW is Low: 1206.68 | DATE:: 2011-12-07 21:10:41.386951 | PORT:: 17094
TICKET:: PmNgcEo6Lc | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 883][ft: SMIL] [curTime: 2422.56][curIndex: 0 of 2][Buffer: 42.042 of 20][isBuffering: false][BW: 239.09][Avg BW: 1035.91][Peak BW: 3721.37 : Estimated RAW Max Bytes Per Second: 417075.8620689655] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 43 > 24 | DATE:: 2011-12-07 21:10:41.482826 | PORT:: 17094
