TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1582][ft: SMIL] [curTime: 1620.312][curIndex: 0][Buffer: 12.834][BW: 0.00][Avg BW: 46.15][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 10 > 10 | DATE:: 2011-12-06 23:57:19.664844 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1582][ft: SMIL] [curTime: 1620.869][curIndex: 0][Buffer: 12.209][BW: 0.00][Avg BW: 46.15][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 11 > 10 | DATE:: 2011-12-06 23:57:20.291374 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1583][ft: SMIL] [curTime: 1621.473][curIndex: 0][Buffer: 11.625][BW: 0.00][Avg BW: 46.15][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 11 > 10 | DATE:: 2011-12-06 23:57:20.854183 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1583][ft: SMIL] [curTime: 1622.076][curIndex: 0][Buffer: 11.042][BW: 0.00][Avg BW: 46.15][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 11 > 10 | DATE:: 2011-12-06 23:57:21.459989 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1584][ft: SMIL] [curTime: 1622.634][curIndex: 0][Buffer: 10.5][BW: 0.00][Avg BW: 46.15][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 10 > 10 | DATE:: 2011-12-06 23:57:22.024863 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1589][ft: SMIL] [curTime: 1627.917][curIndex: 0][Buffer: 16.138][BW: 40.74][Avg BW: 50.66][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 10 > 10 | DATE:: 2011-12-06 23:57:27.212561 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1589][ft: SMIL] [curTime: 1628.417][curIndex: 0][Buffer: 15.673][BW: 40.74][Avg BW: 50.66][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 11 > 10 | DATE:: 2011-12-06 23:57:27.749995 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1590][ft: SMIL] [curTime: 1628.917][curIndex: 0][Buffer: 15.163][BW: 0.00][Avg BW: 46.25][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 12 > 10 | DATE:: 2011-12-06 23:57:28.217430 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1590][ft: SMIL] [curTime: 1629.417][curIndex: 0][Buffer: 14.652][BW: 0.00][Avg BW: 46.25][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 11 > 10 | DATE:: 2011-12-06 23:57:28.713712 | PORT:: 17093
TICKET:: RPJqGkPIPQ | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1591][ft: SMIL] [curTime: 1629.958][curIndex: 0][Buffer: 14.095][BW: 0.00][Avg BW: 46.25][Peak BW: 642.11] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 11 > 10 | DATE:: 2011-12-06 23:57:29.226652 | PORT:: 17093
