TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 21905][ft: SMIL] [curTime: 4797.36][curIndex: 0 of 2][Buffer: 31.75 of 20][isBuffering: false][BW: 410.26][Avg BW: 537.51][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 558790.0552486188] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:50:03.428650 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 21908][ft: SMIL] [curTime: 4797.87][curIndex: 0 of 2][Buffer: 31.208 of 20][isBuffering: false][BW: 410.26][Avg BW: 533.94][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 558790.0552486188] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:50:03.971160 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 21910][ft: SMIL] [curTime: 4798.43][curIndex: 0 of 2][Buffer: 30.667 of 20][isBuffering: false][BW: 410.26][Avg BW: 530.36][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 558790.0552486188] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:50:04.522908 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 21913][ft: SMIL] [curTime: 4798.98][curIndex: 0 of 2][Buffer: 30.125 of 20][isBuffering: false][BW: 410.26][Avg BW: 526.78][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 558790.0552486188] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:50:05.058055 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 21915][ft: SMIL] [curTime: 4799.49][curIndex: 0 of 2][Buffer: 29.542 of 20][isBuffering: false][BW: 410.26][Avg BW: 523.21][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 558790.0552486188] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:50:05.610212 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 21917][ft: SMIL] [curTime: 4800.05][curIndex: 0 of 2][Buffer: 29 of 20][isBuffering: false][BW: 410.26][Avg BW: 519.63][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 558790.0552486188] Log Status Timer | DATE:: 2011-12-07 21:50:06.157672 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 21918][ft: SMIL] [curTime: 4800.05][curIndex: 0 of 2][Buffer: 29 of 20][isBuffering: false][BW: 410.26][Avg BW: 519.63][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 558790.0552486188] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:50:06.158719 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 21920][ft: SMIL] [curTime: 4800.61][curIndex: 0 of 2][Buffer: 28.458 of 20][isBuffering: false][BW: 410.26][Avg BW: 516.05][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 558790.0552486188] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:50:06.697352 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 21923][ft: SMIL] [curTime: 4801.17][curIndex: 0 of 2][Buffer: 27.917 of 20][isBuffering: false][BW: 410.26][Avg BW: 497.64][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 558790.0552486188] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:50:07.239969 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 21925][ft: SMIL] [curTime: 4801.68][curIndex: 0 of 2][Buffer: 27.375 of 20][isBuffering: false][BW: 410.26][Avg BW: 482.13][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 558790.0552486188] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:50:07.789267 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 21928][ft: SMIL] [curTime: 4802.23][curIndex: 0 of 2][Buffer: 26.833 of 20][isBuffering: false][BW: 410.26][Avg BW: 463.20][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 558790.0552486188] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:50:08.338902 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 21930][ft: SMIL] [curTime: 4802.79][curIndex: 0 of 2][Buffer: 26.292 of 20][isBuffering: false][BW: 410.26][Avg BW: 446.90][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 558790.0552486188] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 21:50:08.877001 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 21932][ft: SMIL] [curTime: 4803.21][curIndex: 0 of 2][Buffer: 25.833 of 20][isBuffering: false][BW: 410.26][Avg BW: 426.67][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 558790.0552486188] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetConnection.Connect.NetworkChange | DATE:: 2011-12-07 21:50:09.419040 | PORT:: 17094
