TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30045][ft: SMIL] [curTime: 1330.33][curIndex: 2 of 2][Buffer: 4.623 of 5][isBuffering: true][BW: 2471.66][Avg BW: 1555.21][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 455211.5107913669] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.InsufficientBufferRule] getNewIndex() - about to return: 0, detail=Buffer was empty | DATE:: 2011-12-07 22:25:53.470305 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30045][ft: SMIL] [curTime: 1330.33][curIndex: 2 of 2][Buffer: 5.144 of 5][isBuffering: true][BW: 2471.66][Avg BW: 1555.21][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 455211.5107913669] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Buffer.Full | DATE:: 2011-12-07 22:25:53.532782 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30045][ft: SMIL] [curTime: 1330.33][curIndex: 2 of 2][Buffer: 5.144 of 5][isBuffering: true][BW: 2471.66][Avg BW: 1555.21][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 455211.5107913669] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onNetStatus() - event.info.code=NetStream.Buffer.Full | DATE:: 2011-12-07 22:25:53.539783 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30045][ft: SMIL] [curTime: 1330.33][curIndex: 2 of 2][Buffer: 5.144 of 5][isBuffering: true][BW: 2471.66][Avg BW: 1555.21][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 455211.5107913669] [OSMF] [INFO] [org.osmf.net.NetLoader] Stream reconnect: onNetStatus: NetStream.Buffer.Full | DATE:: 2011-12-07 22:25:53.540790 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30045][ft: SMIL] [curTime: 1330.33][curIndex: 2 of 2][Buffer: 5.144 of 5][isBuffering: false][BW: 2471.66][Avg BW: 1555.21][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 455211.5107913669] [videoView][DEBUG]FROM TRAIT BUFFERING CHANGE isBuffering : false time 5 | DATE:: 2011-12-07 22:25:53.541726 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30047][ft: SMIL] [curTime: 1330.71][curIndex: 2 of 2][Buffer: 7 of 5][isBuffering: false][BW: 943.16][Avg BW: 1480.63][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 425084.5070422535] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 3 failure(s) and only 2.869 seconds have passed since the last failure. | DATE:: 2011-12-07 22:25:53.912039 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30050][ft: SMIL] [curTime: 1331.25][curIndex: 2 of 2][Buffer: 10.083 of 5][isBuffering: false][BW: 1052.15][Avg BW: 1406.92][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 477570.9219858156] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 3 failure(s) and only 3.413 seconds have passed since the last failure. | DATE:: 2011-12-07 22:25:54.451653 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30052][ft: SMIL] [curTime: 1331.79][curIndex: 2 of 2][Buffer: 12.542 of 5][isBuffering: false][BW: 1009.63][Avg BW: 1331.96][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 406393.08176100627] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 3 failure(s) and only 3.954 seconds have passed since the last failure. | DATE:: 2011-12-07 22:25:54.996532 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30055][ft: SMIL] [curTime: 1332.54][curIndex: 2 of 2][Buffer: 14.755 of 5][isBuffering: false][BW: 899.08][Avg BW: 1255.18][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 625445.6521739131] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 3 failure(s) and only 4.704 seconds have passed since the last failure. | DATE:: 2011-12-07 22:25:55.769496 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30055][ft: SMIL] [curTime: 1333.98][curIndex: 2 of 2][Buffer: 14.755 of 5][isBuffering: false][BW: 899.08][Avg BW: 1255.18][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 625445.6521739131] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onPlayStatus() - info.code=NetStream.Play.TransitionComplete | DATE:: 2011-12-07 22:25:58.551271 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30055][ft: SMIL] [curTime: 1333.98][curIndex: 2 of 2][Buffer: 14.755 of 5][isBuffering: false][BW: 899.08][Avg BW: 1255.18][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 625445.6521739131] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onPlayStatus() - Transition complete to index: 0 at 1000 kbps | DATE:: 2011-12-07 22:25:58.552531 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30056][ft: SMIL] [curTime: 1333.98][curIndex: 0 of 2][Buffer: 13.353 of 5][isBuffering: false][BW: 899.08][Avg BW: 1175.21][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 625445.6521739131] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 3 failure(s) and only 7.506 seconds have passed since the last failure. | DATE:: 2011-12-07 22:25:58.553454 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30058][ft: SMIL] [curTime: 1335.92][curIndex: 0 of 2][Buffer: 11.38 of 5][isBuffering: false][BW: 899.08][Avg BW: 1100.02][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 625445.6521739131] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 3 failure(s) and only 8.083 seconds have passed since the last failure. | DATE:: 2011-12-07 22:25:59.129962 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30060][ft: SMIL] [curTime: 1336.54][curIndex: 0 of 2][Buffer: 10.755 of 5][isBuffering: false][BW: 899.08][Avg BW: 1027.69][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 625445.6521739131] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 3 failure(s) and only 8.711 seconds have passed since the last failure. | DATE:: 2011-12-07 22:25:59.751211 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30061][ft: SMIL] [curTime: 1338.38][curIndex: 0 of 2][Buffer: 13.541 of 5][isBuffering: false][BW: 940.83][Avg BW: 989.35][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 402762.5418060201] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 3 failure(s) and only 10.557 seconds have passed since the last failure. | DATE:: 2011-12-07 22:26:01.601393 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30063][ft: SMIL] [curTime: 1340.17][curIndex: 0 of 2][Buffer: 12.792 of 5][isBuffering: false][BW: 538.51][Avg BW: 968.98][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 422796.178343949] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 3 failure(s) and only 12.342 seconds have passed since the last failure. | DATE:: 2011-12-07 22:26:03.361218 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30065][ft: SMIL] [curTime: 1340.75][curIndex: 0 of 2][Buffer: 12.208 of 5][isBuffering: false][BW: 538.51][Avg BW: 979.77][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 422796.178343949] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 3 failure(s) and only 12.939 seconds have passed since the last failure. | DATE:: 2011-12-07 22:26:03.979730 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30067][ft: SMIL] [curTime: 1341.33][curIndex: 0 of 2][Buffer: 11.625 of 5][isBuffering: false][BW: 538.51][Avg BW: 990.57][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 422796.178343949] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 3 failure(s) and only 13.507 seconds have passed since the last failure. | DATE:: 2011-12-07 22:26:04.546496 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30070][ft: SMIL] [curTime: 1341.92][curIndex: 0 of 2][Buffer: 11.042 of 5][isBuffering: false][BW: 538.51][Avg BW: 1001.36][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 422796.178343949] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 3 failure(s) and only 14.098 seconds have passed since the last failure. | DATE:: 2011-12-07 22:26:05.141751 | PORT:: 17094
