TICKET:: a2FDrntxxQ | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 1074][ft: SMIL] [curTime: 3959.083][curIndex: 0][Buffer: 1106.199][BW: 137.90][Avg BW: 26.46][Peak BW: 598.89] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 599 > 24 | DATE:: 2011-12-06 21:36:06.813577 | PORT:: 17093
TICKET:: a2FDrntxxQ | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 1074][ft: SMIL] [curTime: 3959.083][curIndex: 0][Buffer: 1106.199][BW: 0.00][Avg BW: 25.54][Peak BW: 598.89] [videoView][INFO]Detected FPS <1 FPS zero count 0 current 0.4273626029231602 | DATE:: 2011-12-06 21:36:06.831013 | PORT:: 17093
TICKET:: ntG4MjQCFN | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 164][ft: SMIL] [curTime: 3946.069][curIndex: 0][Buffer: 16.208][BW: 0.00][Avg BW: 37.38][Peak BW: 235.59] [videoView][INFO]Detected FPS <1 FPS zero count 9 current 0.1094826579469812 | DATE:: 2011-12-06 21:36:06.841987 | PORT:: 17093
TICKET:: ntG4MjQCFN | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 164][ft: SMIL] [curTime: 3946.069][curIndex: 0][Buffer: 16.083][BW: 0.00][Avg BW: 37.38][Peak BW: 235.59] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 1692 > 24 | DATE:: 2011-12-06 21:36:06.978991 | PORT:: 17093
TICKET:: 22wS8BLGQw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 946][ft: SMIL] [curTime: 3959.542][curIndex: 0][Buffer: 1134.171][BW: 0.00][Avg BW: 15.53][Peak BW: 584.40] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 759 > 24 | DATE:: 2011-12-06 21:36:07.219711 | PORT:: 17093
TICKET:: a2FDrntxxQ | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 1074][ft: SMIL] [curTime: 3959.625][curIndex: 0][Buffer: 1107.746][BW: 137.90][Avg BW: 26.46][Peak BW: 598.89] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 614 > 24 | DATE:: 2011-12-06 21:36:07.355023 | PORT:: 17093
TICKET:: ntG4MjQCFN | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 164][ft: SMIL] [curTime: 3946.626][curIndex: 0][Buffer: 15.542][BW: 0.00][Avg BW: 37.38][Peak BW: 235.59] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 1679 > 24 | DATE:: 2011-12-06 21:36:07.555754 | PORT:: 17093
TICKET:: 22wS8BLGQw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 947][ft: SMIL] [curTime: 3960.083][curIndex: 0][Buffer: 1134.171][BW: 0.00][Avg BW: 15.53][Peak BW: 584.40] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 724 > 24 | DATE:: 2011-12-06 21:36:07.712059 | PORT:: 17093
TICKET:: a2FDrntxxQ | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 1075][ft: SMIL] [curTime: 3960.125][curIndex: 0][Buffer: 1107.746][BW: 114.36][Avg BW: 27.71][Peak BW: 598.89] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 626 > 24 | DATE:: 2011-12-06 21:36:07.861398 | PORT:: 17093
TICKET:: bKR4VvJRYE | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1089][ft: SMIL] [curTime: 3963.159][curIndex: 2][Buffer: 11.657][BW: 402.19][Avg BW: 203.46][Peak BW: 527.52] Log Status Timer | DATE:: 2011-12-06 21:36:09.497446 | PORT:: 17093
TICKET:: iCNXKq96Qz | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 161][ft: SMIL] [curTime: 3890.208][curIndex: 0][Buffer: 71.701][BW: 0.00][Avg BW: 49.90][Peak BW: 184.90] [videoView][INFO]Detected FPS <1 FPS zero count 13 current 0.19948134849391583 | DATE:: 2011-12-06 21:36:09.944361 | PORT:: 17093
TICKET:: iCNXKq96Qz | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 160][ft: SMIL] [curTime: 3890.208][curIndex: 0][Buffer: 71.701][BW: 0.00][Avg BW: 49.90][Peak BW: 184.90] Log Status Timer | DATE:: 2011-12-06 21:36:09.945214 | PORT:: 17093
TICKET:: iCNXKq96Qz | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 161][ft: SMIL] [curTime: 3890.208][curIndex: 0][Buffer: 71.701][BW: 63.96][Avg BW: 51.97][Peak BW: 184.90] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 1405 > 24 | DATE:: 2011-12-06 21:36:09.945879 | PORT:: 17093
TICKET:: 22wS8BLGQw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 948][ft: SMIL] [curTime: 3961.208][curIndex: 0][Buffer: 1142.296][BW: 131.31][Avg BW: 19.76][Peak BW: 584.40] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 695 > 24 | DATE:: 2011-12-06 21:36:10.050866 | PORT:: 17093
TICKET:: a2FDrntxxQ | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 1076][ft: SMIL] [curTime: 3962.083][curIndex: 0][Buffer: 1107.746][BW: 0.00][Avg BW: 27.71][Peak BW: 598.89] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 633 > 24 | DATE:: 2011-12-06 21:36:10.113464 | PORT:: 17093
TICKET:: a2FDrntxxQ | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 1076][ft: SMIL] [curTime: 3962.875][curIndex: 0][Buffer: 1107.746][BW: 0.00][Avg BW: 27.71][Peak BW: 598.89] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 636 > 24 | DATE:: 2011-12-06 21:36:10.880000 | PORT:: 17093
TICKET:: iCNXKq96Qz | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 162][ft: SMIL] [curTime: 3891.25][curIndex: 0][Buffer: 70.659][BW: 63.96][Avg BW: 51.97][Peak BW: 184.90] [videoView][INFO]Detected FPS <1 FPS zero count 14 current 0.19703139366872455 | DATE:: 2011-12-06 21:36:11.084179 | PORT:: 17093
TICKET:: iCNXKq96Qz | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 162][ft: SMIL] [curTime: 3891.25][curIndex: 0][Buffer: 70.659][BW: 0.00][Avg BW: 51.97][Peak BW: 184.90] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 1415 > 24 | DATE:: 2011-12-06 21:36:11.084945 | PORT:: 17093
TICKET:: 22wS8BLGQw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 949][ft: SMIL] [curTime: 3963.25][curIndex: 0][Buffer: 1143.921][BW: 73.63][Avg BW: 18.47][Peak BW: 584.40] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 685 > 24 | DATE:: 2011-12-06 21:36:11.410590 | PORT:: 17093
TICKET:: 22wS8BLGQw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 950][ft: SMIL] [curTime: 3965.042][curIndex: 0][Buffer: 1143.921][BW: 0.00][Avg BW: 14.14][Peak BW: 584.40] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 675 > 24 | DATE:: 2011-12-06 21:36:12.802084 | PORT:: 17093
TICKET:: 22wS8BLGQw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 951][ft: SMIL] [curTime: 3966.292][curIndex: 0][Buffer: 1143.921][BW: 0.00][Avg BW: 11.74][Peak BW: 584.40] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 665 > 24 | DATE:: 2011-12-06 21:36:13.958195 | PORT:: 17093
TICKET:: uJCtGbApjg | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 203][ft: SMIL] [curTime: 3954.375][curIndex: 0][Buffer: 17.75][BW: 0.00][Avg BW: 44.68][Peak BW: 200.00] Log Status Timer | DATE:: 2011-12-06 21:36:16.946479 | PORT:: 17093
TICKET:: uJCtGbApjg | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 204][ft: SMIL] [curTime: 3954.375][curIndex: 0][Buffer: 17.75][BW: 0.00][Avg BW: 44.68][Peak BW: 200.00] [videoView][INFO]Detected FPS <1 FPS zero count 8 current 0.10254937752527842 | DATE:: 2011-12-06 21:36:16.947981 | PORT:: 17093
TICKET:: uJCtGbApjg | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 204][ft: SMIL] [curTime: 3954.375][curIndex: 0][Buffer: 17.75][BW: 50.43][Avg BW: 46.31][Peak BW: 200.00] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 1804 > 24 | DATE:: 2011-12-06 21:36:16.948930 | PORT:: 17093
TICKET:: uJCtGbApjg | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 204][ft: SMIL] [curTime: 3955.25][curIndex: 0][Buffer: 16.875][BW: 50.43][Avg BW: 46.31][Peak BW: 200.00] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 1792 > 24 | DATE:: 2011-12-06 21:36:17.815697 | PORT:: 17093
TICKET:: uJCtGbApjg | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 205][ft: SMIL] [curTime: 3955.984][curIndex: 0][Buffer: 16.75][BW: 50.43][Avg BW: 46.31][Peak BW: 200.00] [videoView][INFO]Detected FPS <1 FPS zero count 9 current 0.10870746820306555 | DATE:: 2011-12-06 21:36:17.869574 | PORT:: 17093
TICKET:: uJCtGbApjg | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 205][ft: SMIL] [curTime: 3956.286][curIndex: 0][Buffer: 16.334][BW: 0.00][Avg BW: 46.31][Peak BW: 200.00] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 1744 > 24 | DATE:: 2011-12-06 21:36:18.269897 | PORT:: 17093
TICKET:: uJCtGbApjg | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 205][ft: SMIL] [curTime: 3956.402][curIndex: 0][Buffer: 15.834][BW: 0.00][Avg BW: 46.31][Peak BW: 200.00] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 1749 > 24 | DATE:: 2011-12-06 21:36:18.808857 | PORT:: 17093
TICKET:: uJCtGbApjg | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 206][ft: SMIL] [curTime: 3956.959][curIndex: 0][Buffer: 15.667][BW: 0.00][Avg BW: 46.31][Peak BW: 200.00] [videoView][INFO]Detected FPS <1 FPS zero count 10 current 0.19593244249382813 | DATE:: 2011-12-06 21:36:18.959660 | PORT:: 17093
TICKET:: sHNIEvgzzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 736][ft: SMIL] [curTime: 3972.542][curIndex: 0][Buffer: 1114.773][BW: 105.63][Avg BW: 30.56][Peak BW: 555.04] Log Status Timer | DATE:: 2011-12-06 21:36:21.325147 | PORT:: 17093
TICKET:: sHNIEvgzzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 737][ft: SMIL] [curTime: 3972.542][curIndex: 0][Buffer: 1114.773][BW: 105.63][Avg BW: 30.56][Peak BW: 555.04] [videoView][INFO]Detected FPS <1 FPS zero count 3 current 0.18435898381328122 | DATE:: 2011-12-06 21:36:21.608890 | PORT:: 17093
TICKET:: sHNIEvgzzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 737][ft: SMIL] [curTime: 3972.542][curIndex: 0][Buffer: 1114.773][BW: 105.63][Avg BW: 30.56][Peak BW: 555.04] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 490 > 24 | DATE:: 2011-12-06 21:36:21.612087 | PORT:: 17093
TICKET:: sHNIEvgzzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 738][ft: SMIL] [curTime: 3974.042][curIndex: 0][Buffer: 1114.773][BW: 0.00][Avg BW: 30.56][Peak BW: 555.04] [videoView][INFO]Detected FPS <1 FPS zero count 4 current 0.1808776182035235 | DATE:: 2011-12-06 21:36:23.075290 | PORT:: 17093
TICKET:: sHNIEvgzzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 738][ft: SMIL] [curTime: 3974.042][curIndex: 0][Buffer: 1114.773][BW: 0.00][Avg BW: 30.56][Peak BW: 555.04] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 478 > 24 | DATE:: 2011-12-06 21:36:23.087803 | PORT:: 17093
TICKET:: sHNIEvgzzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 738][ft: SMIL] [curTime: 3974.708][curIndex: 0][Buffer: 1114.773][BW: 0.00][Avg BW: 30.56][Peak BW: 555.04] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 500 > 24 | DATE:: 2011-12-06 21:36:23.695574 | PORT:: 17093
TICKET:: sHNIEvgzzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 739][ft: SMIL] [curTime: 3975.167][curIndex: 0][Buffer: 1114.773][BW: 0.00][Avg BW: 30.56][Peak BW: 555.04] [videoView][INFO]Detected FPS <1 FPS zero count 5 current 0.17891434773792628 | DATE:: 2011-12-06 21:36:24.245377 | PORT:: 17093
TICKET:: sHNIEvgzzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 739][ft: SMIL] [curTime: 3975.542][curIndex: 0][Buffer: 1114.773][BW: 0.00][Avg BW: 30.56][Peak BW: 555.04] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 565 > 24 | DATE:: 2011-12-06 21:36:24.246204 | PORT:: 17093
TICKET:: sHNIEvgzzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 740][ft: SMIL] [curTime: 3976.25][curIndex: 0][Buffer: 1114.773][BW: 0.00][Avg BW: 30.56][Peak BW: 555.04] [videoView][INFO]Detected FPS <1 FPS zero count 6 current 0.30033036339973973 | DATE:: 2011-12-06 21:36:25.049391 | PORT:: 17093
TICKET:: sHNIEvgzzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 739][ft: SMIL] [curTime: 3976.167][curIndex: 0][Buffer: 1114.773][BW: 0.00][Avg BW: 30.56][Peak BW: 555.04] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 633 > 24 | DATE:: 2011-12-06 21:36:25.055410 | PORT:: 17093
TICKET:: mm2Xvhjk6x | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 929][ft: SMIL] [curTime: 3971.833][curIndex: 0][Buffer: 1161.661][BW: 113.63][Avg BW: 26.32][Peak BW: 580.70] [videoView][INFO]Detected FPS <1 FPS zero count 1 current 0.18611345476202293 | DATE:: 2011-12-06 21:36:27.020796 | PORT:: 17093
TICKET:: mm2Xvhjk6x | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 929][ft: SMIL] [curTime: 3971.833][curIndex: 0][Buffer: 1161.661][BW: 0.00][Avg BW: 26.32][Peak BW: 580.70] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 787 > 24 | DATE:: 2011-12-06 21:36:27.026109 | PORT:: 17093
TICKET:: mm2Xvhjk6x | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 929][ft: SMIL] [curTime: 3972.583][curIndex: 0][Buffer: 1161.661][BW: 0.00][Avg BW: 26.32][Peak BW: 580.70] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 765 > 24 | DATE:: 2011-12-06 21:36:27.846849 | PORT:: 17093
TICKET:: mm2Xvhjk6x | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 930][ft: SMIL] [curTime: 3973.042][curIndex: 0][Buffer: 1161.661][BW: 0.00][Avg BW: 26.32][Peak BW: 580.70] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 754 > 24 | DATE:: 2011-12-06 21:36:28.497262 | PORT:: 17093
TICKET:: mm2Xvhjk6x | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 930][ft: SMIL] [curTime: 3973.042][curIndex: 0][Buffer: 1161.661][BW: 0.00][Avg BW: 26.32][Peak BW: 580.70] [videoView][INFO]Detected FPS <1 FPS zero count 2 current 0.1838460595661233 | DATE:: 2011-12-06 21:36:28.597453 | PORT:: 17093
