TICKET:: RP243bUB43 | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 706][ft: SMIL] [curTime: 165.95][curIndex: 1 of 2][Buffer: 23.348 of 20][isBuffering: false][BW: 1.05][Avg BW: 87.52][Peak BW: 4086.64 : Estimated RAW Max Bytes Per Second: 41113.21725705464] [OSMF] [INFO] [org.osmf.net.NetLoader] Stream reconnect: onNetStatus: NetStream.Play.Transition | DATE:: 2011-12-07 20:32:51.930008 | PORT:: 17094
TICKET:: RP243bUB43 | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 706][ft: SMIL] [curTime: 165.95][curIndex: 1 of 2][Buffer: 23.348 of 20][isBuffering: false][BW: 1.05][Avg BW: 87.52][Peak BW: 4086.64 : Estimated RAW Max Bytes Per Second: 41113.21725705464] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-12-07 20:32:51.932658 | PORT:: 17094
TICKET:: RP243bUB43 | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 706][ft: SMIL] [curTime: 165.95][curIndex: 1 of 2][Buffer: 23.348 of 20][isBuffering: false][BW: 1.05][Avg BW: 87.52][Peak BW: 4086.64 : Estimated RAW Max Bytes Per Second: 41113.21725705464] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onNetStatus() - event.info.code=NetStream.Play.Transition | DATE:: 2011-12-07 20:32:51.933558 | PORT:: 17094
TICKET:: XPYetI3kyD | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 12][ft: SMIL] [curTime: 164.54][curIndex: 0 of 2][Buffer: 5.292 of 5][isBuffering: false][BW: 1535.55][Avg BW: 705.71][Peak BW: 1535.55 : Estimated RAW Max Bytes Per Second: 511848.9583333333] detected low buffer - displaying message - buffer: 5 | DATE:: 2011-12-07 20:32:52.012705 | PORT:: 17094
TICKET:: XPYetI3kyD | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 12][ft: SMIL] [curTime: 164.54][curIndex: 0 of 2][Buffer: 5.292 of 5][isBuffering: false][BW: 1535.55][Avg BW: 705.71][Peak BW: 1535.55 : Estimated RAW Max Bytes Per Second: 511848.9583333333] [videoView][DEBUG]on buffer TIME CHANGE false time 20 | DATE:: 2011-12-07 20:32:52.017516 | PORT:: 17094
TICKET:: XPYetI3kyD | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 12][ft: SMIL] [curTime: 164.54][curIndex: 0 of 2][Buffer: 5.25 of 5][isBuffering: true][BW: 1535.55][Avg BW: 705.71][Peak BW: 1535.55 : Estimated RAW Max Bytes Per Second: 511848.9583333333] [OSMF] [INFO] [org.osmf.net.NetLoader] Stream reconnect: onNetStatus: NetStream.Buffer.Full | DATE:: 2011-12-07 20:32:52.020093 | PORT:: 17094
TICKET:: XPYetI3kyD | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 12][ft: SMIL] [curTime: 164.54][curIndex: 0 of 2][Buffer: 5.134 of 5][isBuffering: true][BW: 1535.55][Avg BW: 705.71][Peak BW: 1535.55 : Estimated RAW Max Bytes Per Second: 511848.9583333333] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Buffer.Full | DATE:: 2011-12-07 20:32:52.021100 | PORT:: 17094
TICKET:: XPYetI3kyD | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 12][ft: SMIL] [curTime: 164.54][curIndex: 0 of 2][Buffer: 5.273 of 5][isBuffering: false][BW: 1535.55][Avg BW: 705.71][Peak BW: 1535.55 : Estimated RAW Max Bytes Per Second: 511848.9583333333] [videoView][DEBUG]FROM TRAIT BUFFERING CHANGE isBuffering : false time 5 | DATE:: 2011-12-07 20:32:52.021783 | PORT:: 17094
TICKET:: XPYetI3kyD | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 12][ft: SMIL] [curTime: 164.54][curIndex: 0 of 2][Buffer: 5.181 of 5][isBuffering: true][BW: 1535.55][Avg BW: 705.71][Peak BW: 1535.55 : Estimated RAW Max Bytes Per Second: 511848.9583333333] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onNetStatus() - event.info.code=NetStream.Buffer.Full | DATE:: 2011-12-07 20:32:52.022834 | PORT:: 17094
TICKET:: H9KYwNvw8k | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 485][ft: SMIL] [curTime: 164.07][curIndex: 0 of 2][Buffer: 26.04 of 20][isBuffering: false][BW: 1.00][Avg BW: 286.14][Peak BW: 4321.81 : Estimated RAW Max Bytes Per Second: 13169.333797182118] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-12-07 20:32:52.164842 | PORT:: 17094
TICKET:: H9KYwNvw8k | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 485][ft: SMIL] [curTime: 164.07][curIndex: 0 of 2][Buffer: 26.04 of 20][isBuffering: false][BW: 1.00][Avg BW: 286.14][Peak BW: 4321.81 : Estimated RAW Max Bytes Per Second: 13169.333797182118] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onNetStatus() - event.info.code=NetStream.Play.Transition | DATE:: 2011-12-07 20:32:52.168128 | PORT:: 17094
TICKET:: H9KYwNvw8k | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 485][ft: SMIL] [curTime: 164.07][curIndex: 0 of 2][Buffer: 26.04 of 20][isBuffering: false][BW: 1.00][Avg BW: 286.14][Peak BW: 4321.81 : Estimated RAW Max Bytes Per Second: 13169.333797182118] [OSMF] [INFO] [org.osmf.net.NetLoader] Stream reconnect: onNetStatus: NetStream.Play.Transition | DATE:: 2011-12-07 20:32:52.173000 | PORT:: 17094
