TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 16416][ft: SMIL] [curTime: 3597.77][curIndex: 0 of 2][Buffer: 24.958 of 20][isBuffering: false][BW: 527.61][Avg BW: 510.59][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 407859.01639344264] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:30:03.819873 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 16419][ft: SMIL] [curTime: 3598.33][curIndex: 0 of 2][Buffer: 24.375 of 20][isBuffering: false][BW: 527.61][Avg BW: 510.59][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 407859.01639344264] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:30:04.371986 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 16421][ft: SMIL] [curTime: 3598.84][curIndex: 0 of 2][Buffer: 23.833 of 20][isBuffering: false][BW: 527.61][Avg BW: 510.59][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 407859.01639344264] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:30:04.925538 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 16422][ft: SMIL] [curTime: 3599.07][curIndex: 0 of 2][Buffer: 23.625 of 20][isBuffering: false][BW: 527.61][Avg BW: 510.59][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 407859.01639344264] Log Status Timer | DATE:: 2011-12-07 21:30:05.139619 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 16424][ft: SMIL] [curTime: 3599.39][curIndex: 0 of 2][Buffer: 23.292 of 20][isBuffering: false][BW: 527.61][Avg BW: 510.59][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 407859.01639344264] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:30:05.470793 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 16426][ft: SMIL] [curTime: 3599.95][curIndex: 0 of 2][Buffer: 22.75 of 20][isBuffering: false][BW: 527.61][Avg BW: 510.59][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 407859.01639344264] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:30:06.025797 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 16429][ft: SMIL] [curTime: 3600.51][curIndex: 0 of 2][Buffer: 23.614 of 20][isBuffering: false][BW: 498.09][Avg BW: 509.63][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 2613812.5] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:30:06.574737 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 16431][ft: SMIL] [curTime: 3601.02][curIndex: 0 of 2][Buffer: 29.209 of 20][isBuffering: false][BW: 627.77][Avg BW: 512.87][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 492969.32515337423] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:30:07.115315 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 16434][ft: SMIL] [curTime: 3601.58][curIndex: 0 of 2][Buffer: 34.099 of 20][isBuffering: false][BW: 514.20][Avg BW: 512.43][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 498621.2121212121] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:30:07.659123 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 16436][ft: SMIL] [curTime: 3602.14][curIndex: 0 of 2][Buffer: 40.292 of 20][isBuffering: false][BW: 436.05][Avg BW: 509.48][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 531561.9047619047] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:30:08.206458 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 16439][ft: SMIL] [curTime: 3602.69][curIndex: 0 of 2][Buffer: 43.25 of 20][isBuffering: false][BW: 490.40][Avg BW: 508.28][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 421281.8791946309] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:30:08.761629 | PORT:: 17094
